entity:pedigree_id	FamilyID	FatherID	MotherID	Population	Sex	Superpopulation
HG03557	HG03557	0	0	MSL	2	AFR
HG03558	HG03558	0	0	MSL	2	AFR
HG03559	SL66	0	0	MSL	1	AFR
HG03563	SL67	0	0	MSL	2	AFR
HG03565	HG03565	0	0	MSL	1	AFR
HG03567	HG03567	0	0	MSL	2	AFR
HG03571	SL70	0	0	MSL	1	AFR
HG03572	SL70	0	0	MSL	2	AFR
HG03574	SL71	0	0	MSL	1	AFR
HG03575	SL71	0	0	MSL	2	AFR
HG03576	SL71	HG03574	HG03575	MSL	2	AFR
HG03577	SL72	0	0	MSL	1	AFR
HG03578	SL72	0	0	MSL	2	AFR
HG03579	SL72	HG03577	HG03578	MSL	1	AFR
HG03582	SL73	0	0	MSL	1	AFR
HG03583	SL73	0	0	MSL	2	AFR
HG03584	SL73	HG03582	HG03583	MSL	2	AFR
HG03585	BD4	0	0	BEB	1	SAS
HG03589	BD05	0	0	BEB	2	SAS
HG03593	BD6	0	0	BEB	1	SAS
HG03594	BD7	0	0	BEB	1	SAS
HG03595	BD7	0	0	BEB	2	SAS
HG03596	BD7	HG03594	HG03595	BEB	1	SAS
HG03598	BD8	0	0	BEB	2	SAS
HG03600	BD09	0	0	BEB	1	SAS
HG03603	BD10	0	0	BEB	1	SAS
HG03604	BD10	0	0	BEB	2	SAS
HG03605	BD11	HG03606	HG03607	BEB	2	SAS
HG03606	BD11	0	0	BEB	1	SAS
HG03607	BD11	0	0	BEB	2	SAS
HG03611	BD12	0	0	BEB	2	SAS
HG03615	BD14	0	0	BEB	1	SAS
HG03616	BD14	0	0	BEB	2	SAS
HG03617	BD14	HG03615	HG03616	BEB	2	SAS
HG03618	PK44	0	0	PJL	1	SAS
HG03619	PK44	0	0	PJL	2	SAS
HG03620	PK44	HG03618	HG03619	PJL	2	SAS
HG03624	PK46	0	0	PJL	1	SAS
HG03625	PK46	0	0	PJL	2	SAS
HG03626	PK46	HG03624	HG03625	PJL	2	SAS
HG03629	PK47	0	0	PJL	1	SAS
HG03631	PK48	0	0	PJL	2	SAS
HG03633	PK49	0	0	PJL	1	SAS
HG03634	PK49	0	0	PJL	2	SAS
HG03635	PK49	HG03633	HG03634	PJL	2	SAS
HG03636	PK50	0	0	PJL	1	SAS
HG03639	PK51	0	0	PJL	1	SAS
