entity:pedigree_id Population Sex Superpopulation
HG00674 CHS 1 EAS
HG00675 CHS 2 EAS
HG00683 CHS 1 EAS
HG00684 CHS 2 EAS
HG00685 CHS 1 EAS
HG00689 CHS 1 EAS
HG00690 CHS 2 EAS
HG00691 CHS 1 EAS
HG00692 CHS 1 EAS
HG00693 CHS 2 EAS
HG00694 CHS 1 EAS
HG00698 CHS 1 EAS
HG00699 CHS 2 EAS
HG00700 CHS 2 EAS
HG00701 CHS 1 EAS
HG00702 CHS 2 EAS
HG00703 CHS 1 EAS
HG00704 CHS 1 EAS
HG00705 CHS 2 EAS
HG00706 CHS 1 EAS
HG00707 CHS 1 EAS
HG00708 CHS 2 EAS
HG00709 CHS 1 EAS
HG00717 CHS 2 EAS
HG00728 CHS 1 EAS
HG00729 CHS 2 EAS
HG00731 PUR 1 AMR
HG00732 PUR 2 AMR
HG00733 PUR 2 AMR
HG00734 PUR 2 AMR
HG00735 PUR 2 AMR
HG00736 PUR 1 AMR
HG00737 PUR 2 AMR
HG00738 PUR 1 AMR
HG00739 PUR 1 AMR
HG00740 PUR 2 AMR
HG00741 PUR 2 AMR
HG00742 PUR 1 AMR
HG00743 PUR 2 AMR
HG00759 CDX 2 EAS
HG00766 CDX 2 EAS
HG00844 CDX 1 EAS
HG00851 CDX 2 EAS
HG00864 CDX 2 EAS
HG00867 CDX 2 EAS
HG00879 CDX 2 EAS
HG00881 CDX 1 EAS
HG00956 CDX 2 EAS
HG00978 CDX 2 EAS
HG00982 CDX 1 EAS
HG01028 CDX 1 EAS
HG01029 CDX 2 EAS
HG01031 CDX 1 EAS
HG01046 CDX 2 EAS
HG01047 PUR 1 AMR
HG01048 PUR 1 AMR
HG01049 PUR 2 AMR
HG01050 PUR 2 AMR
HG01051 PUR 1 AMR
HG01052 PUR 2 AMR
HG01053 PUR 2 AMR
HG01054 PUR 1 AMR
HG01055 PUR 2 AMR
HG01056 PUR 1 AMR
HG01058 PUR 2 AMR
HG01060 PUR 1 AMR
HG01061 PUR 2 AMR
HG01062 PUR 2 AMR
HG01063 PUR 1 AMR
HG01064 PUR 2 AMR
HG01066 PUR 1 AMR
HG01067 PUR 2 AMR
HG01068 PUR 2 AMR
HG01069 PUR 1 AMR
HG01070 PUR 2 AMR
HG01071 PUR 2 AMR
HG01072 PUR 1 AMR
HG01073 PUR 2 AMR
HG01074 PUR 1 AMR
HG01075 PUR 1 AMR
HG01077 PUR 2 AMR
HG01079 PUR 1 AMR
HG01080 PUR 2 AMR
HG01081 PUR 2 AMR
HG01082 PUR 1 AMR
HG01083 PUR 2 AMR
HG01084 PUR 2 AMR
HG01085 PUR 1 AMR
HG01086 PUR 2 AMR
HG01087 PUR 2 AMR
HG01088 PUR 1 AMR
HG01089 PUR 2 AMR
HG01092 PUR 2 AMR
HG01094 PUR 1 AMR
HG01095 PUR 2 AMR
HG01096 PUR 1 AMR
HG01097 PUR 1 AMR
HG01098 PUR 2 AMR
HG01099 PUR 1 AMR
HG01100 PUR 2 AMR
HG01101 PUR 1 AMR
HG01102 PUR 2 AMR
HG01103 PUR 2 AMR
HG01104 PUR 1 AMR
HG01105 PUR 2 AMR
HG01106 PUR 1 AMR
HG01107 PUR 1 AMR
HG01108 PUR 2 AMR
HG01109 PUR 1 AMR
HG01110 PUR 1 AMR
HG01111 PUR 2 AMR
HG01112 CLM 1 AMR
HG01113 CLM 2 AMR
HG01114 CLM 2 AMR
HG01119 CLM 2 AMR
HG01121 CLM 1 AMR
HG01122 CLM 2 AMR
HG01124 CLM 1 AMR
HG01125 CLM 2 AMR
HG01126 CLM 1 AMR
HG01130 CLM 1 AMR
HG01131 CLM 2 AMR
HG01133 CLM 1 AMR
HG01134 CLM 2 AMR
HG01135 CLM 1 AMR
HG01136 CLM 1 AMR
HG01137 CLM 2 AMR
HG01138 CLM 1 AMR
HG01139 CLM 1 AMR
HG01140 CLM 2 AMR
HG01141 CLM 2 AMR
HG01142 CLM 1 AMR
HG01148 CLM 1 AMR
HG01149 CLM 2 AMR
HG01150 CLM 2 AMR
HG01161 PUR 1 AMR
HG01162 PUR 2 AMR
HG01164 PUR 1 AMR
HG01167 PUR 1 AMR
HG01168 PUR 2 AMR
HG01169 PUR 2 AMR
HG01170 PUR 1 AMR
HG01171 PUR 2 AMR
HG01172 PUR 1 AMR
HG01173 PUR 1 AMR
HG01174 PUR 2 AMR
HG01175 PUR 2 AMR
HG01176 PUR 1 AMR
HG01177 PUR 2 AMR
HG01178 PUR 1 AMR
HG01182 PUR 1 AMR
HG01183 PUR 2 AMR
HG01184 PUR 2 AMR
HG01187 PUR 1 AMR
HG01188 PUR 2 AMR
HG01189 PUR 1 AMR
HG01190 PUR 1 AMR
HG01191 PUR 2 AMR
HG01192 PUR 1 AMR
HG01197 PUR 1 AMR
HG01198 PUR 2 AMR
HG01199 PUR 1 AMR
HG01200 PUR 1 AMR
HG01204 PUR 1 AMR
HG01205 PUR 2 AMR
HG01206 PUR 1 AMR
HG01241 PUR 1 AMR
HG01242 PUR 2 AMR
HG01243 PUR 1 AMR
HG01247 PUR 1 AMR
HG01248 PUR 2 AMR
HG01249 PUR 2 AMR
HG01250 CLM 1 AMR
HG01251 CLM 2 AMR
HG01252 CLM 1 AMR
HG01253 CLM 1 AMR
HG01254 CLM 2 AMR
HG01255 CLM 1 AMR
HG01256 CLM 1 AMR
HG01257 CLM 2 AMR
HG01258 CLM 1 AMR
HG01259 CLM 1 AMR
HG01260 CLM 2 AMR
HG01261 CLM 1 AMR
HG01269 CLM 2 AMR
HG01271 CLM 1 AMR
HG01272 CLM 2 AMR
HG01273 CLM 1 AMR
HG01274 CLM 1 AMR
HG01275 CLM 2 AMR
HG01276 CLM 2 AMR
HG01277 CLM 1 AMR
HG01278 CLM 2 AMR
HG01279 CLM 2 AMR
